股票代碼,流動比率_3Y,速動比率_3Y,利息保障倍數_3Y,負債比_3Y,ROA_3Y,ROE_3Y,毛利率_3Y
3021,155.56,102.97,21.0,52.71,5.0,9.79,21.41
3022,284.41,233.18,3554.33,29.7,8.06,11.37,34.92
3023,156.35,98.33,47.07,57.45,10.62,23.88,25.46
3024,177.22,127.74,6.99,31.45,2.7,3.72,23.3
3025,625.98,384.57,48.63,20.06,5.4,6.59,53.42
3026,235.17,176.83,102.59,34.9,8.43,12.74,21.27
3028,132.63,84.84,6.14,73.28,3.53,10.97,5.37
3029,171.25,125.63,253.95,51.13,7.91,16.19,10.25
3030,423.43,329.82,945.84,20.15,15.45,19.1,55.32
3031,379.18,335.67,59.89,18.59,5.99,7.22,26.73
3032,136.32,102.69,30.22,57.57,5.17,11.95,17.79
3033,140.83,84.56,7.35,73.35,4.49,13.62,6.04
3034,277.59,232.56,1598.3,34.09,27.61,42.6,38.92
3035,247.92,214.85,120.66,28.86,6.94,9.63,50.22
3036,132.13,74.03,12.36,70.19,4.15,12.6,3.35
3037,142.54,119.24,26.32,58.34,5.91,13.39,16.98
3038,237.02,162.73,25.88,44.57,7.05,12.4,19.19
3042,234.88,174.16,68.18,38.48,10.62,17.03,30.3
3044,141.89,118.49,60.54,53.06,8.2,17.11,19.88
3045,62.33,51.19,27.22,58.15,7.95,17.77,23.38
3048,118.78,67.37,3.8,83.27,4.97,19.54,2.93
3049,307.71,292.4,11.28,40.61,5.21,8.41,31.73
3050,174.96,167.89,4.38,51.11,3.45,5.39,38.42
3056,154.22,24.14,409.42,70.79,4.6,14.32,27.08
3090,206.15,149.19,52.52,42.2,9.03,15.34,17.43
3092,150.6,115.92,16.5,58.51,4.3,8.99,21.79
3094,1713.52,1649.43,88.08,10.48,4.1,4.48,68.21
3164,606.41,573.44,125.9,8.73,4.69,5.07,67.51
3167,195.37,135.38,14.96,59.36,7.36,16.91,27.93
3209,140.86,83.74,7.14,73.7,4.99,15.31,4.31
3231,115.81,79.05,7.69,79.15,3.74,14.81,5.39
3257,795.55,667.96,721.09,11.02,13.54,15.25,47.98
3266,181.3,37.01,34.62,52.4,1.32,2.49,21.99
3305,208.4,147.76,17.04,45.36,4.8,8.29,13.66
3312,135.56,114.69,13.42,72.49,5.2,17.1,5.15
3338,154.37,128.14,23.12,60.72,5.94,14.74,20.49
3356,283.56,203.81,31.32,34.51,4.93,6.99,44.2
3376,273.55,240.42,312.93,29.43,6.81,9.62,22.56
3380,170.73,109.36,46.95,48.62,2.11,3.88,16.18
3406,166.76,143.23,36.65,39.66,12.34,19.35,41.92
3413,242.41,186.6,53.01,48.96,11.03,21.23,24.65
3416,362.16,281.41,597.56,22.89,10.39,13.11,35.15
3432,1842.15,1841.22,43.7,15.94,2.52,2.93,32.23
3443,165.97,128.17,296.87,55.61,9.69,21.29,32.53
3450,215.01,197.9,199.22,32.38,7.6,11.04,22.94
3501,342.63,235.13,139.76,25.83,5.49,7.37,22.98
3515,245.25,109.72,2070.83,39.82,12.73,20.94,22.61
3528,169.17,93.49,14.48,57.52,7.01,14.8,12.06
3532,595.44,462.45,2778.3,11.54,6.89,7.78,23.07
3533,280.37,224.14,161.77,26.5,15.3,20.58,38.77
3550,204.89,182.55,7.06,54.04,2.05,3.76,18.34
3563,326.83,285.93,323.15,32.33,22.11,32.68,63.14
3583,173.75,115.21,175.49,43.62,7.46,12.61,37.39
3588,427.25,310.72,631.89,18.87,7.59,9.49,36.09
3596,156.42,98.7,48.12,58.65,5.88,13.57,14.03
3605,160.79,127.7,11.45,55.41,3.81,7.65,22.87
3645,146.35,106.02,12.37,46.73,5.35,9.16,31.72
3653,359.68,259.46,191.09,32.53,10.25,14.78,30.27
3661,261.1,231.85,375.98,38.7,11.6,19.36,34.65
3665,233.89,166.73,23.58,43.68,8.7,15.24,24.3
3669,255.83,192.89,116.16,27.16,12.59,17.32,51.37
3673,181.15,149.37,2.85,56.06,1.49,2.23,3.79
3679,254.75,232.99,32.52,49.69,6.93,13.14,27.5
3702,133.83,90.7,6.25,73.09,4.4,13.52,3.95
3703,153.48,57.48,7.57,60.0,2.05,4.54,13.91
3705,148.16,81.49,24.36,46.47,6.52,11.76,46.57
3706,172.0,104.13,303.61,28.31,9.51,13.06,12.02
4104,192.57,173.5,70.37,34.79,4.84,7.39,19.88
4106,192.27,137.85,13.86,32.64,3.51,4.81,41.93
4119,229.72,175.23,8621.09,20.97,8.04,9.79,37.06
4137,207.36,193.36,37.44,49.11,15.49,28.13,84.07
4164,233.52,211.57,8.47,50.11,3.75,6.69,31.55
4532,152.07,130.99,7.28,63.49,2.74,6.36,11.98
4536,200.22,160.49,36.59,45.61,8.72,15.52,32.74
4551,136.92,109.13,35.09,52.03,8.51,18.51,27.38
4552,332.52,306.31,94.77,24.59,4.95,6.4,20.01
4555,202.67,113.09,10.45,38.7,3.71,5.51,34.2
4720,155.56,106.65,7.03,58.65,2.4,4.99,20.04
4722,282.81,181.74,109.81,28.72,8.57,11.78,19.19
4739,171.55,105.57,14.79,44.42,3.48,5.79,9.85
4755,185.76,149.35,72.55,30.45,9.16,12.9,21.67
4904,105.15,92.9,18.49,56.79,6.18,12.7,31.44
4906,165.38,117.8,27.55,43.89,4.63,8.13,10.06
4912,166.39,141.42,18.27,63.18,6.54,16.67,21.58
4915,122.68,84.66,16.15,68.9,4.81,14.43,12.22
4919,244.21,180.05,37.26,50.96,6.09,12.46,39.26
4927,126.67,81.21,26.26,49.75,8.27,15.54,20.41
4930,232.34,206.53,7.01,56.51,4.8,9.46,16.69
4935,210.54,182.13,53.06,38.95,8.93,14.32,19.44
4938,133.5,99.37,18.99,69.45,3.72,11.26,3.51
4942,304.01,287.89,272.6,27.96,7.28,10.06,23.1
4952,323.8,259.57,169.7,28.3,12.86,17.71,37.7
4958,179.47,155.01,28.47,39.99,8.06,13.05,20.87
4968,258.46,156.58,537.8,36.77,17.03,28.02,33.46
4999,446.64,385.96,3215.64,17.7,6.51,7.89,28.13
5007,482.24,304.62,1201.06,17.13,10.22,12.44,22.06
5215,338.28,303.77,301.59,26.94,14.94,20.27,32.69
5234,239.04,211.93,191.24,33.04,15.56,22.99,35.41
5243,188.19,159.07,63.6,38.29,5.04,8.04,16.3
5269,313.33,250.79,2452.39,14.85,26.19,31.81,51.84
5284,131.63,99.52,7.63,43.11,4.13,6.18,31.92
5285,300.33,188.15,12.7,51.06,5.61,10.66,15.99
5288,148.74,113.73,47.44,42.22,12.09,19.49,18.55
5306,187.79,149.43,83.15,43.25,14.49,25.47,44.4
5388,133.74,82.74,14.98,73.82,3.57,12.2,14.65
5434,149.23,115.69,86.0,51.64,9.86,19.99,12.16
5469,159.28,121.93,26.57,48.56,6.36,11.97,19.53
5515,256.67,241.03,36.69,48.04,3.73,7.08,9.33
5519,457.31,58.85,236.8,54.19,5.6,12.15,20.55
5522,180.56,45.33,21.67,53.32,5.13,10.31,29.71
5533,226.87,28.6,37.83,44.77,3.62,6.01,24.56
5534,213.36,26.51,422.4,47.97,7.49,13.34,36.31
5538,236.29,133.97,8.86,48.26,9.9,17.1,16.05
6112,208.93,114.64,50.75,44.27,6.87,12.51,11.71
6115,215.78,194.09,42.65,42.16,6.45,10.75,18.61
6116,329.98,311.43,113.91,15.1,8.12,9.43,23.48
6128,98.01,64.48,11.5,51.22,4.56,8.39,37.61
6141,104.35,92.22,15.41,51.69,9.75,19.6,19.79
6155,175.0,159.23,12.86,43.34,2.88,4.58,27.29
6166,155.73,99.79,16.76,53.07,3.27,5.83,39.07
6168,308.38,257.26,81.58,25.02,4.43,5.83,22.44
6176,189.32,178.41,42.82,49.18,9.91,19.25,18.56
6177,143.79,12.68,7.17,80.96,3.69,16.3,26.76
6183,218.11,218.08,650.42,31.18,11.12,15.78,39.62
6184,192.68,191.07,28.43,44.44,6.49,12.01,49.08
6189,164.59,122.32,12.58,63.8,6.43,15.41,7.59
6191,148.42,107.53,25.06,50.9,6.1,11.84,17.3
6192,256.92,186.23,850.03,36.89,9.6,15.26,31.23
6196,132.78,109.25,21.29,70.29,4.99,15.73,11.15
6197,291.09,238.81,70.22,31.0,6.91,9.95,25.63
6201,334.53,221.93,12472.73,28.23,8.13,11.31,21.0
6202,357.8,305.18,1159.67,28.27,21.05,29.1,49.7
6205,388.11,353.0,74.93,25.84,5.35,7.15,31.0
6206,414.91,330.3,380.88,20.28,11.58,14.34,34.25
6213,166.89,136.91,46.01,50.34,11.14,23.71,19.31
6214,200.84,162.01,53.18,41.19,7.29,11.61,24.05
6215,227.86,166.06,36.11,39.61,6.57,10.49,25.97
6224,261.32,220.27,69.4,33.77,12.07,17.14,45.06
6230,182.26,145.29,731.41,49.71,7.8,14.65,19.69
6239,233.21,207.37,43.07,47.22,8.35,15.48,20.61
6257,177.77,174.91,23.31,48.85,8.11,14.79,29.65
6269,264.15,232.44,94.12,41.15,8.15,12.98,20.39
6271,265.07,213.98,455.41,17.08,8.05,9.65,27.76
6277,214.81,164.89,53.86,35.05,13.78,20.82,59.16
6278,128.1,111.32,47.17,65.83,7.0,19.52,12.3
6281,137.05,63.36,25.17,68.95,7.45,21.23,18.66
6282,143.57,110.25,30.51,60.74,5.48,12.56,15.94
6285,149.68,101.03,22.98,56.87,3.97,8.44,11.09
6409,138.89,117.6,62.64,55.13,20.76,43.8,28.04
6412,125.58,79.96,78.29,62.3,9.19,24.39,17.49
6414,136.66,106.16,8.28,68.24,4.03,10.97,22.51
6415,802.81,660.85,4065.02,8.5,19.32,21.04,49.6
6449,142.36,111.94,21.5,45.59,6.24,10.9,26.06
6456,132.26,109.44,23.53,66.59,4.64,13.79,9.03
6464,114.36,112.36,15.81,63.57,5.8,13.52,49.74
6504,121.07,93.2,30.87,65.05,7.31,19.83,20.56
6505,620.46,469.57,86.82,18.39,7.69,9.27,7.04
6605,120.38,66.36,4.77,55.68,3.19,5.56,25.69
8016,252.88,212.36,731.01,34.81,25.61,39.29,40.65
8021,431.96,383.67,42.13,26.66,5.23,6.93,31.3
8039,308.97,258.89,44.98,37.81,6.13,9.51,23.34
8046,314.29,252.27,167.8,26.42,10.31,14.0,16.22
8070,174.72,145.37,29.39,56.18,8.34,18.15,16.27
8081,247.37,195.2,261.78,32.35,17.41,25.52,40.72
8103,241.75,190.55,23.73,42.66,5.58,9.19,30.58
8112,152.54,92.83,6.85,76.11,6.61,22.92,2.94
8114,170.33,105.27,3.39,76.51,3.81,11.88,34.24
8131,613.93,566.74,334.8,13.55,10.48,12.02,19.32
8150,229.79,190.42,29.63,42.0,9.53,15.93,22.55
8163,131.11,90.71,23.22,57.11,4.74,10.21,17.47
8210,135.44,95.36,102.69,52.93,11.91,23.3,25.28
8213,158.91,140.81,23.19,57.52,6.07,13.61,15.06
8215,114.17,65.44,14.7,59.9,5.25,12.0,16.34
8249,206.41,181.64,149.36,33.95,3.74,5.39,13.8
8261,199.92,127.92,84.36,38.98,10.23,16.72,20.52
8271,230.1,156.92,129.81,33.88,8.96,13.5,17.06
8341,133.91,130.16,43.32,59.3,14.6,31.36,57.65
8404,141.6,75.8,11.5,63.97,5.31,13.61,36.43
8422,300.19,297.43,204.63,20.26,16.39,20.34,67.0
8454,107.31,75.01,257.43,60.07,12.85,31.19,9.78
8926,126.77,126.59,23.59,45.97,5.12,8.48,9.01
8996,162.29,102.54,26.81,41.25,4.74,7.49,26.56
9802,139.66,85.95,44.75,41.86,8.37,13.8,19.57
9902,880.09,622.2,583.06,8.58,4.34,4.69,4.99
9904,178.03,116.22,7.1,45.53,4.24,6.88,23.85
9905,317.47,238.01,1150.49,26.79,5.34,7.24,14.49
9907,181.16,112.88,8.22,44.21,3.37,5.2,11.25
9908,312.79,304.0,1307.3,28.58,5.13,7.18,23.83
9910,138.04,86.86,60.66,56.02,14.61,31.27,23.61
9911,171.28,140.58,961.08,32.88,12.91,19.07,36.0
9914,145.13,82.43,102.54,45.03,13.42,23.84,13.81
9917,119.42,113.09,68.64,49.63,10.74,20.95,36.22
9918,247.84,243.48,3736.02,40.97,6.07,10.23,25.47
9919,199.31,140.26,11.44,58.78,5.58,12.08,21.48
9921,148.55,82.97,29.13,59.57,8.31,19.51,22.92
9924,262.3,202.74,147.42,32.52,9.23,13.66,21.69
9925,177.76,174.04,57.93,34.37,5.85,8.67,33.98
9926,179.82,169.72,2915.35,51.51,6.22,12.77,26.1
9927,640.91,333.89,99.55,16.77,8.51,10.23,10.38
9930,98.72,86.37,20.07,55.65,6.83,14.21,14.37
9931,88.36,64.64,4332.79,53.27,4.52,9.69,18.36
9933,132.83,132.44,9.86,73.92,2.67,9.11,6.36
9934,166.9,109.74,3.31,66.69,1.88,3.75,26.77
