ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,正負樣本,代碼,備註
12.49,5.46,47.5,8.46,1,2496,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
21.09,7.26,38.13,4.86,1,2114,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
13.06,4.65,20.74,2.23,1,4755,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
20.7,21.36,49.0,1.02,1,1590,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
14.85,3.1,24.13,4.73,1,1323,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
31.76,8.82,46.63,8.15,1,2458,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
14.47,8.16,30.88,2.92,1,4536,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
13.09,3.61,37.98,7.44,1,6671,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
10.09,2.66,20.74,3.05,1,1229,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
11.33,3.41,28.63,4.65,1,1436,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
12.28,3.53,40.69,1.83,1,1762,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
14.3,9.09,20.44,5.27,1,6269,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
14.02,4.45,36.77,2.8,1,3583,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
23.82,6.51,62.94,5.14,1,6666,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
16.93,6.1,34.67,2.96,1,8114,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
16.98,18.52,41.07,1.55,1,3406,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
19.92,4.14,33.73,4.75,1,1216,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
17.53,5.61,27.85,11.43,1,1325,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
28.1,12.43,36.78,11.64,1,6582,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
11.82,2.08,20.95,3.58,1,3338,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
23.76,10.43,43.51,2.26,1,5306,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
16.11,13.46,23.75,2.69,1,3665,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
