298,2362　藍天,上市,電腦及週邊設備業
299,2363　矽統,上市,半導體業
300,2364　倫飛,上市,電腦及週邊設備業
301,2365　昆盈,上市,電腦及週邊設備業
302,2367　燿華,上市,電子零組件業
303,2368　金像電,上市,電子零組件業
304,2369　菱生,上市,半導體業
305,2371　大同,上市,電機機械
306,2373　震旦行,上市,其他電子業
307,2374　佳能,上市,光電業
308,2375　凱美,上市,電子零組件業
309,2376　技嘉,上市,電腦及週邊設備業
310,2377　微星,上市,電腦及週邊設備業
311,2379　瑞昱,上市,半導體業
312,2380　虹光,上市,電腦及週邊設備業
313,2382　廣達,上市,電腦及週邊設備業
314,2383　台光電,上市,電子零組件業
315,2385　群光,上市,電子零組件業
316,2387　精元,上市,電腦及週邊設備業
317,2388　威盛,上市,半導體業
318,2390　云辰,上市,其他電子業
319,2392　正崴,上市,電子零組件業
320,2393　億光,上市,光電業
321,2395　研華,上市,電腦及週邊設備業
322,2397　友通,上市,電腦及週邊設備業
323,2399　映泰,上市,電腦及週邊設備業
324,2401　凌陽,上市,半導體業
325,2402　毅嘉,上市,電子零組件業
326,2404　漢唐,上市,其他電子業
327,2405　浩鑫,上市,電腦及週邊設備業
328,2406　國碩,上市,光電業
329,2408　南亞科,上市,半導體業
330,2409　友達,上市,光電業
331,2412　中華電,上市,通信網路業
332,2413　環科,上市,電子零組件業
333,2414　精技,上市,電子通路業
334,2415　錩新,上市,電子零組件業
335,2417　圓剛,上市,電腦及週邊設備業
336,2419　仲琦,上市,通信網路業
337,2420　新巨,上市,電子零組件業
338,2421　建準,上市,電子零組件業
339,2423　固緯,上市,其他電子業
340,2424　隴華,上市,電腦及週邊設備業
341,2425　承啟,上市,電腦及週邊設備業
342,2426　鼎元,上市,光電業
343,2427　三商電,上市,資訊服務業
344,2428　興勤,上市,電子零組件業
345,2429　銘旺科,上市,光電業
346,2430　燦坤,上市,電子通路業
347,2431　聯昌,上市,電子零組件業
348,2433　互盛電,上市,其他電子業
349,2434　統懋,上市,半導體業
350,2436　偉詮電,上市,半導體業
351,2438　翔耀,上市,光電業
352,2439　美律,上市,通信網路業
353,2440　太空梭,上市,電子零組件業
354,2441　超豐,上市,半導體業
355,2442　新美齊,上市,電腦及週邊設備業
356,2443　昶虹,上市,其他業
357,2444　兆勁,上市,通信網路業
